stock_code,avg_amount_yuan,avg_close_yuan,n_trade_days,first_date,rank,in_zz1000,in_priority25
000533,571652119.0,18.302833333333336,60,2025-10-09,57,False,False
000039,547556808.8666667,452.6743333333333,60,2025-10-09,58,False,False
000528,546497024.8333334,184.39300000000003,60,2025-10-09,59,False,False
000797,546163081.8166667,25.532666666666664,60,2025-10-09,60,False,True
000678,537959842.8833333,61.895833333333336,60,2025-10-09,61,False,False
300100,532502164.6333333,196.529,60,2025-10-09,62,False,False
000632,528886315.55,43.62116666666667,60,2025-10-09,63,False,False
000768,525550956.03333336,216.47816666666668,60,2025-10-09,64,False,False
000530,522389474.55,75.78683333333333,60,2025-10-09,65,False,False
000417,507477040.78333336,148.49649999999994,60,2025-10-09,66,False,False
000766,504506759.2,91.59983333333331,60,2025-10-09,67,True,False
000685,499318687.96666664,215.47966666666667,60,2025-10-09,68,True,False
000801,490597137.65,244.53350000000003,60,2025-10-09,69,True,False
000886,488652176.31666666,23.228333333333335,60,2025-10-09,70,False,False
000830,481652680.1333333,133.6341666666667,60,2025-10-09,71,False,False
000009,465496432.55,108.97583333333334,60,2025-10-09,72,False,False
000880,463061680.31666666,163.39733333333336,60,2025-10-09,73,True,False
000596,436163703.56666666,577.0310000000001,60,2025-10-09,74,False,False
000534,435208918.71666664,86.10533333333333,60,2025-10-09,75,True,False
000538,420918029.9166667,1774.5583333333336,60,2025-10-09,76,False,False
000629,412670085.43333334,25.0225,60,2025-10-09,77,False,False
000786,412477991.4166667,311.9615,60,2025-10-09,78,False,False
000560,406561335.05,15.726833333333333,60,2025-10-09,79,False,False
000701,402200553.1333333,11.333333333333334,60,2025-10-09,80,False,False
000546,401453238.21666664,12.162333333333331,60,2025-10-09,81,False,False
000825,398881564.75,36.068666666666665,60,2025-10-09,82,False,True
000558,379467870.23333335,40.21883333333334,60,2025-10-09,83,False,False
000543,379323828.15,50.26283333333334,60,2025-10-09,84,True,False
000758,379300133.1166667,111.64899999999997,60,2025-10-09,85,True,False
000728,371588027.85,26.56316666666667,60,2025-10-09,86,False,False
000065,364563470.7,215.65966666666662,60,2025-10-09,87,True,False
000505,360083690.05,25.2015,60,2025-10-09,88,False,False
000032,352374598.95,84.83916666666666,60,2025-10-09,89,False,False
000628,351878380.25,149.21083333333337,60,2025-10-09,90,True,False
000036,351412703.8333333,53.69783333333334,60,2025-10-09,91,False,False
000875,351197715.51666665,8.596166666666667,60,2025-10-09,92,True,False
000049,345336459.6,260.22683333333333,60,2025-10-09,93,True,False
000567,345137393.98333335,113.64133333333332,60,2025-10-09,94,True,False
000683,341908576.55,59.70449999999999,60,2025-10-09,95,False,False
000821,341647730.01666665,32.15416666666667,60,2025-10-09,96,False,False
000680,337921196.95,61.413999999999994,60,2025-10-09,97,True,False
000823,335638366.25,41.74883333333333,60,2025-10-09,98,False,False
000410,335579701.01666665,22.020000000000003,60,2025-10-09,99,False,False
000816,333540539.26666665,26.705,60,2025-10-09,100,False,False
